epoch,train_loss,train_acc,train_macro_f1,train_balanced_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr
1,2.467549,0.289963,0.100708,0.099939,2.537120,0.274121,0.124997,0.155218,0.00009998
2,1.651609,0.486566,0.224944,0.234153,1.389534,0.557218,0.277899,0.308393,0.00009990
3,1.368128,0.569242,0.293488,0.299773,1.307770,0.605086,0.326567,0.350561,0.00009978
4,1.185002,0.629754,0.342780,0.348092,1.098840,0.660060,0.375510,0.393031,0.00009961
5,1.067316,0.664992,0.378564,0.382015,1.410208,0.586387,0.311469,0.344924,0.00009938
6,0.954069,0.704377,0.414903,0.414123,1.066936,0.666791,0.406271,0.431514,0.00009911
7,0.854532,0.733557,0.449464,0.448170,1.998455,0.488781,0.258225,0.283967,0.00009880
8,0.782380,0.757395,0.484054,0.478214,0.994532,0.693343,0.441013,0.447373,0.00009843
9,0.718269,0.775971,0.502107,0.497943,0.590942,0.820120,0.543969,0.549953,0.00009801
10,0.668677,0.789843,0.523570,0.516912,0.562694,0.837322,0.584067,0.592872,0.00009755
11,0.628548,0.803556,0.546740,0.538052,0.504238,0.853777,0.608438,0.604633,0.00009704
12,0.572443,0.822291,0.584219,0.570526,0.661051,0.807405,0.569117,0.573753,0.00009649
13,0.545594,0.828909,0.579205,0.569777,0.662261,0.798803,0.545296,0.539759,0.00009589
14,0.524964,0.836243,0.598441,0.585498,0.485522,0.854899,0.608462,0.614440,0.00009524
15,0.496241,0.845890,0.611185,0.601738,0.503050,0.848915,0.597824,0.592340,0.00009455
16,0.462480,0.854580,0.631795,0.616178,0.494036,0.851907,0.600937,0.606430,0.00009382
17,0.442093,0.861596,0.635000,0.622708,0.398468,0.878833,0.623984,0.621802,0.00009304
18,0.427080,0.865024,0.649008,0.635907,0.398796,0.883695,0.657918,0.655792,0.00009222
19,0.407590,0.871801,0.658715,0.648580,0.350875,0.895288,0.675142,0.668325,0.00009135
20,0.391968,0.877541,0.666767,0.653300,0.598268,0.827225,0.590403,0.600945,0.00009045
21,0.377604,0.878976,0.682059,0.666938,0.806739,0.768512,0.551160,0.571827,0.00008951
22,0.376402,0.881448,0.683675,0.666166,0.301388,0.914734,0.702926,0.700341,0.00008853
23,0.343089,0.893885,0.695400,0.683668,0.348148,0.895662,0.678334,0.670236,0.00008751
24,0.330404,0.897393,0.699199,0.685790,0.309656,0.905011,0.691795,0.684614,0.00008645
25,0.333206,0.892928,0.704441,0.693597,0.333124,0.895662,0.677256,0.667425,0.00008536
26,0.312386,0.899306,0.700889,0.690203,0.316639,0.907255,0.714994,0.711001,0.00008423
27,0.307466,0.903293,0.723942,0.708902,0.292931,0.910995,0.729408,0.719169,0.00008307
28,0.294866,0.906083,0.723068,0.706634,0.310904,0.908751,0.704556,0.693616,0.00008187
29,0.278266,0.908555,0.731592,0.714852,0.334725,0.903889,0.714794,0.701752,0.00008065
30,0.281375,0.911664,0.731477,0.714846,0.559957,0.841436,0.629727,0.652112,0.00007939
31,0.267699,0.917404,0.749215,0.734212,0.312771,0.904263,0.690169,0.690839,0.00007810
32,0.255752,0.917803,0.756654,0.740246,1.338166,0.672775,0.473001,0.503886,0.00007679
33,0.258970,0.916607,0.752418,0.738912,0.324029,0.906133,0.710163,0.692394,0.00007545
34,0.239475,0.923304,0.775559,0.751727,0.383724,0.890426,0.684829,0.680213,0.00007409
35,0.237799,0.924978,0.762218,0.749974,0.254404,0.921466,0.783989,0.774275,0.00007270
36,0.230022,0.927609,0.779015,0.760038,0.246243,0.927076,0.790242,0.776287,0.00007129
37,0.226471,0.926812,0.791245,0.771308,0.310332,0.911369,0.772990,0.748986,0.00006986
38,0.208764,0.932472,0.790965,0.774109,0.264929,0.922214,0.784773,0.769690,0.00006841
39,0.201704,0.934625,0.793240,0.777390,0.280605,0.918474,0.770703,0.765520,0.00006694
40,0.210762,0.933748,0.802885,0.789025,0.297782,0.913239,0.731675,0.717247,0.00006545
41,0.197316,0.936538,0.798906,0.780729,0.285810,0.916978,0.759991,0.746631,0.00006395
42,0.192769,0.938292,0.812879,0.792505,0.247337,0.930441,0.786296,0.779408,0.00006243
43,0.188805,0.940365,0.821362,0.799921,0.248787,0.928197,0.794967,0.791022,0.00006091
44,0.179536,0.940604,0.825359,0.810081,0.303385,0.910995,0.764931,0.748609,0.00005937
45,0.178964,0.943235,0.832131,0.812788,0.233105,0.934555,0.807770,0.788684,0.00005782
46,0.176181,0.943554,0.816641,0.799525,0.246539,0.933807,0.797485,0.795807,0.00005627
47,0.165942,0.947620,0.843682,0.829030,0.228408,0.937173,0.798757,0.787207,0.00005471
48,0.167728,0.945388,0.837531,0.815281,0.227882,0.932685,0.809126,0.801149,0.00005314
49,0.153779,0.950331,0.846890,0.827914,0.242693,0.927450,0.770256,0.763155,0.00005157
50,0.152644,0.951686,0.846486,0.829995,0.264282,0.926702,0.796201,0.780103,0.00005000
51,0.152182,0.951846,0.857398,0.836458,0.216638,0.937921,0.802770,0.799447,0.00004843
52,0.149759,0.954556,0.877102,0.857500,0.218706,0.937173,0.836973,0.818884,0.00004686
53,0.145067,0.952723,0.865346,0.847128,0.291405,0.921092,0.760907,0.753781,0.00004529
54,0.140318,0.954317,0.874907,0.854426,0.220111,0.936051,0.796269,0.785286,0.00004373
55,0.140318,0.956071,0.864534,0.843784,0.229186,0.935677,0.808317,0.804646,0.00004218
56,0.131507,0.957187,0.864557,0.846044,0.223434,0.940165,0.816728,0.806849,0.00004063
57,0.134248,0.956948,0.868883,0.853454,0.219664,0.941286,0.838095,0.836631,0.00003909
58,0.130674,0.957905,0.869764,0.852422,0.209342,0.941286,0.829472,0.813136,0.00003757
59,0.120724,0.960615,0.867545,0.851625,0.222932,0.937173,0.808312,0.809493,0.00003605
60,0.121082,0.959818,0.882440,0.864616,0.205415,0.942408,0.825743,0.823616,0.00003455
61,0.112824,0.963565,0.890337,0.875206,0.213919,0.946522,0.823435,0.814647,0.00003306
62,0.115164,0.962529,0.883201,0.864923,0.216455,0.939791,0.823605,0.807171,0.00003159
63,0.106936,0.965240,0.892742,0.876343,0.234426,0.937173,0.808337,0.805466,0.00003014
64,0.108596,0.964841,0.895880,0.879615,0.202073,0.944652,0.811076,0.803236,0.00002871
65,0.104953,0.967073,0.895626,0.881310,0.228512,0.941660,0.818044,0.808132,0.00002730
66,0.108500,0.965319,0.895494,0.877304,0.221556,0.938295,0.807534,0.795346,0.00002591
67,0.093806,0.970741,0.914053,0.897492,0.206697,0.944278,0.849138,0.828959,0.00002455
68,0.095924,0.968429,0.898554,0.885090,0.197785,0.945774,0.840265,0.825555,0.00002321
69,0.096807,0.969226,0.908500,0.889641,0.204915,0.946896,0.811291,0.813725,0.00002190
70,0.094595,0.968668,0.901719,0.884932,0.207118,0.947270,0.817163,0.812720,0.00002061
71,0.092553,0.970581,0.906610,0.894465,0.218474,0.939791,0.816938,0.808490,0.00001935
72,0.092294,0.970103,0.910295,0.898053,0.214124,0.942034,0.808190,0.803306,0.00001813
73,0.086787,0.973531,0.926029,0.911928,0.208230,0.947644,0.843016,0.827992,0.00001693
74,0.087166,0.973850,0.919713,0.899988,0.205367,0.946148,0.849801,0.830551,0.00001577
75,0.087238,0.972335,0.913587,0.898762,0.202534,0.946522,0.820403,0.813169,0.00001464
76,0.082235,0.973292,0.909553,0.893993,0.207516,0.947270,0.841392,0.837996,0.00001355
77,0.082397,0.975126,0.919375,0.903399,0.210628,0.946148,0.834056,0.833396,0.00001249
78,0.076263,0.975923,0.923224,0.909487,0.199222,0.944278,0.811750,0.813077,0.00001147
79,0.079167,0.974249,0.920786,0.908342,0.202875,0.943156,0.815757,0.806437,0.00001049
80,0.075255,0.976880,0.924645,0.910951,0.206549,0.943530,0.816269,0.806389,0.00000955
81,0.076468,0.976321,0.934637,0.924320,0.204914,0.942408,0.804587,0.802442,0.00000865
82,0.076402,0.976401,0.931688,0.924319,0.203164,0.943904,0.817653,0.804317,0.00000778
83,0.073092,0.977358,0.929904,0.912941,0.209448,0.942408,0.811023,0.802786,0.00000696
84,0.070256,0.977677,0.931770,0.918605,0.206175,0.943530,0.810391,0.803978,0.00000618
85,0.074419,0.975524,0.925146,0.913170,0.209591,0.944652,0.816888,0.806552,0.00000545
86,0.068871,0.977358,0.928864,0.914636,0.207778,0.944278,0.814791,0.806973,0.00000476
87,0.071841,0.977836,0.924753,0.907926,0.206348,0.942782,0.819701,0.809823,0.00000411
88,0.069554,0.978394,0.931675,0.919110,0.207481,0.945026,0.819372,0.809606,0.00000351
89,0.068089,0.979192,0.930529,0.917832,0.205580,0.945026,0.815978,0.805189,0.00000296
90,0.069218,0.978155,0.933005,0.923444,0.207800,0.941660,0.815603,0.800082,0.00000245
91,0.068649,0.978235,0.935510,0.926922,0.205541,0.945400,0.834617,0.822225,0.00000199
92,0.063574,0.982062,0.943428,0.933628,0.205709,0.947270,0.820151,0.812961,0.00000157
93,0.065596,0.980467,0.942472,0.937110,0.203262,0.945400,0.818598,0.805077,0.00000120
94,0.064999,0.980866,0.940909,0.927436,0.206005,0.946896,0.820517,0.808029,0.00000089
